Player,Squad,Pos,Age,Min,Gls,Ast,xG,xAG,Tkl,Int,Clr,Cmp%,PrgP,PrgC,PrgR_stats_possession,SoT,Sh,KP,Touches,attack_score,defend_score,passing_score,movement_score,role,cluster
Max Aarons,Valencia,"DF,MF",24.0,120,0,0,0.0,0.0,4,0,3,71.2,6,0,10,0,0,1,85,0.0,12.5,20.62,28.5,DF,0
Yunis Abdelhamid,Saint-Étienne,DF,36.0,1033,0,0,0.2,0.1,17,14,57,86.7,22,4,3,1,2,2,641,7.9,147.5,55.97,76.10000000000001,DF,3
Himad Abdelli,Angers,"MF,FW",24.0,2842,6,1,6.4,3.2,48,26,28,82.1,207,107,111,8,35,39,1993,184.8,190.0,493.31,581.8,MF,5
Mohamed Abdelmoneim,Nice,DF,25.0,855,0,0,0.0,0.0,21,15,56,90.4,52,6,5,0,0,0,635,6.0,156.0,113.04,82.5,DF,3
Ali Abdi,Nice,"DF,MF",30.0,1393,5,2,4.3,1.9,43,20,37,74.0,42,35,101,11,29,20,886,104.1,181.5,133.10000000000002,343.1,DF,4
Saud Abdulhamid,Roma,DF,25.0,205,0,1,0.0,0.2,3,2,0,86.8,9,6,26,0,1,2,157,7.0,10.0,33.28,76.7,DF,0
Abel,Osasuna,DF,23.0,2074,2,0,0.5,1.0,61,18,64,72.5,77,50,92,4,12,16,1322,75.0,254.0,188.25,391.2000000000001,DF,1
Nabil Aberdin,Getafe,MF,21.0,263,0,0,0.0,0.0,6,0,5,59.0,6,2,2,0,2,1,87,4.0,19.5,19.4,15.7,MF,0
Matthis Abline,Nantes,FW,21.0,2768,9,2,8.5,3.8,11,4,36,65.2,48,75,169,26,73,27,878,231.0,84.0,160.42,538.3,FW,2
Abner,Lyon,DF,24.0,1090,1,1,0.6,1.1,29,5,41,84.1,66,31,55,3,7,11,791,46.7,129.5,163.21,235.6,DF,3
Zakaria Aboukhlal,Toulouse,"MF,FW",24.0,1901,7,2,10.2,1.6,22,6,9,63.3,22,34,164,26,62,12,613,176.4,69.5,79.13,440.3,MF,4
